,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
131,0.1,0.09,8,30.0,7,30.24,2.1004,Snaking_E1_0_E2_2_Fric_6_load_1.tif
132,0.1,0.09,10,30.0,10,33.41,2.82545,Snaking_E1_0_E2_2_Fric_6_load_2.tif
133,0.1,0.09,12,30.0,12,41.07,1.8424599999999998,Snaking_E1_0_E2_2_Fric_6_load_3.tif
134,0.1,0.09,14,30.0,10,44.61,3.6249300000000004,Snaking_E1_0_E2_2_Fric_6_load_4.tif
135,0.1,0.09,6,35.0,7,14.81,0.8462360000000001,Snaking_E1_0_E2_2_Fric_7_load_0.tif
136,0.1,0.09,8,35.0,9,32.75,1.71816,Snaking_E1_0_E2_2_Fric_7_load_1.tif
137,0.1,0.09,10,35.0,11,35.13,1.84595,Snaking_E1_0_E2_2_Fric_7_load_2.tif
138,0.1,0.09,12,35.0,9,40.17,3.59289,Snaking_E1_0_E2_2_Fric_7_load_3.tif
139,0.1,0.09,14,35.0,10,43.96,2.23378,Snaking_E1_0_E2_2_Fric_7_load_4.tif
140,0.1,0.09,6,40.0,7,15.83,0.885338,Snaking_E1_0_E2_2_Fric_8_load_0.tif
141,0.1,0.09,8,40.0,10,29.48,1.4621899999999999,Snaking_E1_0_E2_2_Fric_8_load_1.tif
142,0.1,0.09,10,40.0,11,35.28,3.1656,Snaking_E1_0_E2_2_Fric_8_load_2.tif
143,0.1,0.09,12,40.0,9,37.05,3.67958,Snaking_E1_0_E2_2_Fric_8_load_3.tif
144,0.1,0.09,14,40.0,9,43.4,5.5406699999999995,Snaking_E1_0_E2_2_Fric_8_load_4.tif
145,0.1,0.09,6,45.0,8,18.23,0.721476,Snaking_E1_0_E2_2_Fric_9_load_0.tif
146,0.1,0.09,8,45.0,7,24.57,1.97439,Snaking_E1_0_E2_2_Fric_9_load_1.tif
147,0.1,0.09,10,45.0,9,34.78,2.4866599999999996,Snaking_E1_0_E2_2_Fric_9_load_2.tif
148,0.1,0.09,12,45.0,9,39.72,2.3820099999999997,Snaking_E1_0_E2_2_Fric_9_load_3.tif
149,0.1,0.09,14,45.0,8,45.0,4.996519999999999,Snaking_E1_0_E2_2_Fric_9_load_4.tif
150,0.1,0.1,6,0.01,6,12.86,1.02778,Snaking_E1_0_E2_3_Fric_0_load_0.tif
151,0.1,0.1,8,0.01,10,27.5,1.7775900000000002,Snaking_E1_0_E2_3_Fric_0_load_1.tif
152,0.1,0.1,10,0.01,9,35.38,2.06334,Snaking_E1_0_E2_3_Fric_0_load_2.tif
153,0.1,0.1,12,0.01,10,42.12,3.0232200000000002,Snaking_E1_0_E2_3_Fric_0_load_3.tif
154,0.1,0.1,14,0.01,10,44.98,2.99545,Snaking_E1_0_E2_3_Fric_0_load_4.tif
155,0.1,0.1,6,5.0,6,12.38,0.998201,Snaking_E1_0_E2_3_Fric_1_load_0.tif
156,0.1,0.1,8,5.0,9,28.56,1.87015,Snaking_E1_0_E2_3_Fric_1_load_1.tif
157,0.1,0.1,10,5.0,9,34.41,3.87091,Snaking_E1_0_E2_3_Fric_1_load_2.tif
158,0.1,0.1,12,5.0,14,42.12,2.2751799999999998,Snaking_E1_0_E2_3_Fric_1_load_3.tif
159,0.1,0.1,14,5.0,10,43.55,3.31914,Snaking_E1_0_E2_3_Fric_1_load_4.tif
160,0.1,0.1,6,10.0,6,12.85,1.1165200000000002,Snaking_E1_0_E2_3_Fric_2_load_0.tif
161,0.1,0.1,8,10.0,10,28.55,1.93019,Snaking_E1_0_E2_3_Fric_2_load_1.tif
162,0.1,0.1,10,10.0,8,33.87,3.9476199999999997,Snaking_E1_0_E2_3_Fric_2_load_2.tif
163,0.1,0.1,12,10.0,8,40.62,2.22375,Snaking_E1_0_E2_3_Fric_2_load_3.tif
164,0.1,0.1,14,10.0,9,45.07,5.31559,Snaking_E1_0_E2_3_Fric_2_load_4.tif
165,0.1,0.1,6,15.0,7,14.35,0.782836,Snaking_E1_0_E2_3_Fric_3_load_0.tif
166,0.1,0.1,8,15.0,9,31.34,2.84578,Snaking_E1_0_E2_3_Fric_3_load_1.tif
167,0.1,0.1,10,15.0,11,29.69,1.7906799999999998,Snaking_E1_0_E2_3_Fric_3_load_2.tif
168,0.1,0.1,12,15.0,9,39.82,4.96052,Snaking_E1_0_E2_3_Fric_3_load_3.tif
169,0.1,0.1,14,15.0,8,42.71,6.3663099999999995,Snaking_E1_0_E2_3_Fric_3_load_4.tif
170,0.1,0.1,6,20.0,6,11.88,0.733676,Snaking_E1_0_E2_3_Fric_4_load_0.tif
171,0.1,0.1,8,20.0,9,27.4,1.8513700000000002,Snaking_E1_0_E2_3_Fric_4_load_1.tif
